-1,RootNode
1,Hips
2,Spine
3,Spine1
4,Spine2
5,Neck
6,Head
7,HeadTop_End
8,LeftShoulder
9,LeftArm
10,LeftForeArm
11,LeftHand
12,LeftHandThumb1
13,LeftHandThumb2
14,LeftHandThumb3
15,LeftHandThumb4
16,LeftHandIndex1
17,LeftHandIndex2
18,LeftHandIndex3
19,LeftHandIndex4
20,LeftHandMiddle1
21,LeftHandMiddle2
22,LeftHandMiddle3
23,LeftHandMiddle4
24,LeftHandRing1
25,LeftHandRing2
26,LeftHandRing3
27,LeftHandRing4
28,LeftHandPinky1
29,LeftHandPinky2
30,LeftHandPinky3
31,LeftHandPinky4
32,RightShoulder
33,RightArm
34,RightForeArm
35,RightHand
36,RightHandIndex1
37,RightHandIndex2
38,RightHandIndex3
39,RightHandIndex4
40,RightHandThumb1
41,RightHandThumb2
42,RightHandThumb3
43,RightHandThumb4
44,RightHandMiddle1
45,RightHandMiddle2
46,RightHandMiddle3
47,RightHandMiddle4
48,RightHandRing1
49,RightHandRing2
50,RightHandRing3
51,RightHandRing4
52,RightHandPinky1
53,RightHandPinky2
54,RightHandPinky3
55,RightHandPinky4
56,LeftUpLeg
57,LeftLeg
58,LeftFoot
59,LeftToeBase
60,LeftToe_End
61,RightUpLeg
62,RightLeg
63,RightFoot
64,RightToeBase
65,RightToe_End
66,Kachujin

95.780312,162.876343,8.260962,23.000000,22.000000,0.000000,0.000000,0.611650,0.388350,0.000000,0.000000
95.747566,163.353851,8.797068,23.000000,22.000000,0.000000,0.000000,0.611650,0.388350,0.000000,0.000000
96.525360,163.457626,8.628009,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.539352,163.156128,8.162120,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
95.745705,163.192505,7.598661,23.000000,22.000000,0.000000,0.000000,0.611650,0.388350,0.000000,0.000000
95.780312,162.876343,8.260962,23.000000,22.000000,0.000000,0.000000,0.611650,0.388350,0.000000,0.000000
96.539352,163.156128,8.162120,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.546944,163.408005,7.776351,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
95.753639,163.851318,8.698086,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.430130,163.899094,8.666885,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.525360,163.457626,8.628009,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
95.747566,163.353851,8.797068,23.000000,22.000000,0.000000,0.000000,0.611650,0.388350,0.000000,0.000000
95.753639,163.851318,8.698086,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
95.738823,163.995895,8.188679,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.465637,164.011292,8.214725,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.430130,163.899094,8.666885,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
95.679253,163.813263,7.649280,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
95.745705,163.192505,7.598661,23.000000,22.000000,0.000000,0.000000,0.611650,0.388350,0.000000,0.000000
96.546944,163.408005,7.776351,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.471306,163.854797,7.710437,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.546944,163.408005,7.776351,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.774559,163.646393,7.896091,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.663521,163.920563,7.882167,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.471306,163.854797,7.710437,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.539352,163.156128,8.162120,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.841393,163.636810,8.164973,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.774559,163.646393,7.896091,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.546944,163.408005,7.776351,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.539352,163.156128,8.162120,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.525360,163.457626,8.628009,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.774757,163.716949,8.456378,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.841393,163.636810,8.164973,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.525360,163.457626,8.628009,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.430130,163.899094,8.666885,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.707809,163.937485,8.455036,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.774757,163.716949,8.456378,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.430130,163.899094,8.666885,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.465637,164.011292,8.214725,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.739235,163.973907,8.193008,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.707809,163.937485,8.455036,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96.841393,163.636810,8.164973,23.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
